TIME,GEO,SEX,AGE,UNIT,Value
2007,Czech Republic,Males,81 years,Year,6.4
2007,Czech Republic,Males,82 years,Year,5.9
2007,Czech Republic,Males,83 years,Year,5.6
2007,Czech Republic,Males,84 years,Year,5.3
2007,Czech Republic,Males,85 years or over,Year,5
2007,Czech Republic,Females,Less than 1 year,Year,80.2
2007,Czech Republic,Females,1 year,Year,79.4
2007,Czech Republic,Females,2 years,Year,78.4
2007,Czech Republic,Females,3 years,Year,77.5
2007,Czech Republic,Females,4 years,Year,76.5
2007,Czech Republic,Females,5 years,Year,75.5
2007,Czech Republic,Females,6 years,Year,74.5
2007,Czech Republic,Females,7 years,Year,73.5
2007,Czech Republic,Females,8 years,Year,72.5
2007,Czech Republic,Females,9 years,Year,71.5
2007,Czech Republic,Females,10 years,Year,70.5
2007,Czech Republic,Females,11 years,Year,69.5
2007,Czech Republic,Females,12 years,Year,68.5
2007,Czech Republic,Females,13 years,Year,67.5
2007,Czech Republic,Females,14 years,Year,66.5
2007,Czech Republic,Females,15 years,Year,65.5
2007,Czech Republic,Females,16 years,Year,64.5
2007,Czech Republic,Females,17 years,Year,63.6
2007,Czech Republic,Females,18 years,Year,62.6
2007,Czech Republic,Females,19 years,Year,61.6
2007,Czech Republic,Females,20 years,Year,60.6
2007,Czech Republic,Females,21 years,Year,59.6
2007,Czech Republic,Females,22 years,Year,58.6
2007,Czech Republic,Females,23 years,Year,57.6
2007,Czech Republic,Females,24 years,Year,56.7
2007,Czech Republic,Females,25 years,Year,55.7
2007,Czech Republic,Females,26 years,Year,54.7
2007,Czech Republic,Females,27 years,Year,53.7
2007,Czech Republic,Females,28 years,Year,52.7
2007,Czech Republic,Females,29 years,Year,51.7
2007,Czech Republic,Females,30 years,Year,50.7
2007,Czech Republic,Females,31 years,Year,49.8
2007,Czech Republic,Females,32 years,Year,48.8
2007,Czech Republic,Females,33 years,Year,47.8
2007,Czech Republic,Females,34 years,Year,46.8
2007,Czech Republic,Females,35 years,Year,45.8
2007,Czech Republic,Females,36 years,Year,44.8
2007,Czech Republic,Females,37 years,Year,43.9
2007,Czech Republic,Females,38 years,Year,42.9
2007,Czech Republic,Females,39 years,Year,41.9
2007,Czech Republic,Females,40 years,Year,41
2007,Czech Republic,Females,41 years,Year,40
2007,Czech Republic,Females,42 years,Year,39.1
2007,Czech Republic,Females,43 years,Year,38.1
2007,Czech Republic,Females,44 years,Year,37.2
2007,Czech Republic,Females,45 years,Year,36.2
2007,Czech Republic,Females,46 years,Year,35.3
2007,Czech Republic,Females,47 years,Year,34.3
2007,Czech Republic,Females,48 years,Year,33.4
2007,Czech Republic,Females,49 years,Year,32.5
2007,Czech Republic,Females,50 years,Year,31.5
2007,Czech Republic,Females,51 years,Year,30.6
2007,Czech Republic,Females,52 years,Year,29.7
2007,Czech Republic,Females,53 years,Year,28.8
2007,Czech Republic,Females,54 years,Year,27.9
2007,Czech Republic,Females,55 years,Year,27
2007,Czech Republic,Females,56 years,Year,26.1
2007,Czech Republic,Females,57 years,Year,25.2
2007,Czech Republic,Females,58 years,Year,24.4
2007,Czech Republic,Females,59 years,Year,23.5
2007,Czech Republic,Females,60 years,Year,22.7
2007,Czech Republic,Females,61 years,Year,21.8
2007,Czech Republic,Females,62 years,Year,21
2007,Czech Republic,Females,63 years,Year,20.1
2007,Czech Republic,Females,64 years,Year,19.3
2007,Czech Republic,Females,65 years,Year,18.5
2007,Czech Republic,Females,66 years,Year,17.7
2007,Czech Republic,Females,67 years,Year,16.9
2007,Czech Republic,Females,68 years,Year,16.1
2007,Czech Republic,Females,69 years,Year,15.3
2007,Czech Republic,Females,70 years,Year,14.6
2007,Czech Republic,Females,71 years,Year,13.9
2007,Czech Republic,Females,72 years,Year,13.1
2007,Czech Republic,Females,73 years,Year,12.4
2007,Czech Republic,Females,74 years,Year,11.7
2007,Czech Republic,Females,75 years,Year,11
2007,Czech Republic,Females,76 years,Year,10.3
2007,Czech Republic,Females,77 years,Year,9.7
2007,Czech Republic,Females,78 years,Year,9.1
2007,Czech Republic,Females,79 years,Year,8.5
2007,Czech Republic,Females,80 years,Year,8
2007,Czech Republic,Females,81 years,Year,7.5
2007,Czech Republic,Females,82 years,Year,7
2007,Czech Republic,Females,83 years,Year,6.5
2007,Czech Republic,Females,84 years,Year,6.1
2007,Czech Republic,Females,85 years or over,Year,5.7
2007,Denmark,Males,Less than 1 year,Year,76.2
2007,Denmark,Males,1 year,Year,75.5
2007,Denmark,Males,2 years,Year,74.5
2007,Denmark,Males,3 years,Year,73.6
2007,Denmark,Males,4 years,Year,72.6
2007,Denmark,Males,5 years,Year,71.6
2007,Denmark,Males,6 years,Year,70.6
2007,Denmark,Males,7 years,Year,69.6
2007,Denmark,Males,8 years,Year,68.6
2007,Denmark,Males,9 years,Year,67.6
2007,Denmark,Males,10 years,Year,66.6
2007,Denmark,Males,11 years,Year,65.6
2007,Denmark,Males,12 years,Year,64.6
2007,Denmark,Males,13 years,Year,63.6
2007,Denmark,Males,14 years,Year,62.6
2007,Denmark,Males,15 years,Year,61.7
2007,Denmark,Males,16 years,Year,60.7
2007,Denmark,Males,17 years,Year,59.7
2007,Denmark,Males,18 years,Year,58.7
2007,Denmark,Males,19 years,Year,57.8
2007,Denmark,Males,20 years,Year,56.8
2007,Denmark,Males,21 years,Year,55.8
2007,Denmark,Males,22 years,Year,54.9
2007,Denmark,Males,23 years,Year,53.9
2007,Denmark,Males,24 years,Year,53
2007,Denmark,Males,25 years,Year,52
2007,Denmark,Males,26 years,Year,51
2007,Denmark,Males,27 years,Year,50
2007,Denmark,Males,28 years,Year,49.1
2007,Denmark,Males,29 years,Year,48.1
2007,Denmark,Males,30 years,Year,47.2
2007,Denmark,Males,31 years,Year,46.2
2007,Denmark,Males,32 years,Year,45.2
2007,Denmark,Males,33 years,Year,44.3
2007,Denmark,Males,34 years,Year,43.3
2007,Denmark,Males,35 years,Year,42.4
2007,Denmark,Males,36 years,Year,41.4
2007,Denmark,Males,37 years,Year,40.4
2007,Denmark,Males,38 years,Year,39.5
2007,Denmark,Males,39 years,Year,38.5
2007,Denmark,Males,40 years,Year,37.6
2007,Denmark,Males,41 years,Year,36.6
2007,Denmark,Males,42 years,Year,35.7
2007,Denmark,Males,43 years,Year,34.8
2007,Denmark,Males,44 years,Year,33.9
2007,Denmark,Males,45 years,Year,33
2007,Denmark,Males,46 years,Year,32.1
2007,Denmark,Males,47 years,Year,31.2
2007,Denmark,Males,48 years,Year,30.2
2007,Denmark,Males,49 years,Year,29.4
2007,Denmark,Males,50 years,Year,28.5
